Generation	NumCells	DriverDiversity	DriverEdgeDiversity	DriverAlphaDiversity	DriverDiversityFrom1RandomSamples	DriverDiversityFrom1BigRandomSamples	DriverDiversityFrom2RandomSamples	DriverDiversityFrom2BigRandomSamples	DriverDiversityFrom4RandomSamples	DriverDiversityFrom4BigRandomSamples
425.394714	520000	1.726785	1.726785	1.726785	1.485002	1.758706	1.821992	1.696485	1.669154	1.727200
425.446655	525000	1.721669	1.721669	1.721669	1.721170	1.650301	1.774662	1.641023	1.668235	1.749503
425.498138	530000	1.715886	1.715886	1.715886	1.982554	1.613294	1.700897	1.678314	1.725182	1.757716
425.547028	535000	1.710268	1.710268	1.710268	1.648533	1.515266	1.643892	1.722327	1.763967	1.713339
425.598907	540000	1.706796	1.706796	1.706796	1.624959	1.618254	1.787630	1.646416	1.680205	1.657668
425.646515	545000	1.702968	1.702968	1.702968	1.555210	1.712182	1.692369	1.695950	1.753561	1.698674
425.696777	550000	1.698391	1.698391	1.698391	1.546551	1.760563	1.721244	1.748845	1.715725	1.687078
425.742737	555000	1.695178	1.695178	1.695178	1.515611	1.748557	1.685630	1.655147	1.705078	1.745525
425.788513	560000	1.691747	1.691747	1.691747	1.543210	1.631721	1.747106	1.626889	1.667781	1.659824
425.836670	565000	1.687795	1.687795	1.687795	1.999200	1.839250	1.709402	1.598149	1.731452	1.680885
425.886871	570000	1.684103	1.684103	1.684103	1.783167	1.697937	1.639949	1.658793	1.758576	1.677294
425.933807	575000	1.681148	1.681148	1.681148	1.862891	1.533742	1.688975	1.627710	1.648493	1.675002
425.978302	580000	1.678031	1.678031	1.678031	1.761804	1.739130	1.658512	1.671129	1.710585	1.668321
426.022430	585000	1.674368	1.674368	1.674368	1.733102	1.740190	1.517077	1.718573	1.655447	1.672321
426.068054	590000	1.669332	1.669332	1.669332	1.672800	1.658787	1.691189	1.680074	1.630562	1.654196
426.116852	595000	1.665677	1.665677	1.665677	1.615509	1.835536	1.806114	1.664492	1.696013	1.703917
426.161713	600000	1.661450	1.661450	1.661450	1.731302	1.681096	1.752925	1.718036	1.638086	1.665045
426.203430	605000	1.657788	1.657788	1.657788	1.646904	1.686767	1.669170	1.613866	1.686224	1.661475
426.245209	610000	1.654982	1.654982	1.654982	1.482360	1.638404	1.637566	1.634612	1.642166	1.657243
426.288147	615000	1.651273	1.651273	1.651273	1.359434	1.608493	1.697145	1.657726	1.623109	1.625459
426.327087	620000	1.647558	1.647558	1.647558	1.426533	1.544640	1.673605	1.655317	1.650165	1.638677
426.366608	625000	1.644248	1.644248	1.644248	1.546551	1.690188	1.827945	1.738012	1.651349	1.621011
426.408508	630000	1.640220	1.640220	1.640220	1.948558	1.797107	1.621764	1.675019	1.618285	1.606377
426.450226	635000	1.637307	1.637307	1.637307	1.878287	1.645684	1.548677	1.613741	1.674395	1.676443
426.491180	640000	1.633166	1.633166	1.633166	1.723544	1.530222	1.661406	1.635987	1.641710	1.621905
426.534058	645000	1.629992	1.629992	1.629992	1.792115	1.701259	1.641834	1.659680	1.624656	1.616635
426.574646	650000	1.626943	1.626943	1.626943	1.718804	1.722060	1.668231	1.583190	1.625279	1.636035
426.618958	655000	1.623615	1.623615	1.623615	1.769912	1.690046	1.783326	1.570524	1.594540	1.616741
426.659698	660000	1.619478	1.619478	1.619478	1.599488	1.459961	1.585414	1.642101	1.602793	1.627818
426.701233	665000	1.616086	1.616086	1.616086	1.618123	1.660992	1.721319	1.548472	1.618719	1.647553
426.740295	670000	1.613308	1.613308	1.613308	1.660027	1.390530	1.626479	1.583862	1.557669	1.623453
426.780518	675000	1.608815	1.608815	1.608815	1.676727	1.486657	1.694736	1.633266	1.579946	1.605814
426.816803	680000	1.606416	1.606416	1.606416	1.808972	1.479399	1.544759	1.672845	1.570164	1.600804
426.854401	685000	1.603206	1.603206	1.603206	1.629726	1.716738	1.537781	1.544735	1.589414	1.587995
426.889526	690000	1.600637	1.600637	1.600637	1.820168	1.507500	1.687871	1.653871	1.576665	1.593191
426.925140	695000	1.597500	1.597500	1.597500	1.618123	1.458470	1.766901	1.564465	1.574936	1.600331
426.963776	700000	1.595276	1.595276	1.595276	1.695490	1.674341	1.609043	1.640511	1.550453	1.631017
427.002899	705000	1.592716	1.592716	1.592716	1.702997	1.641093	1.544849	1.515496	1.640124	1.600798
427.038177	710000	1.590719	1.590719	1.590719	1.458151	1.639479	1.490785	1.560876	1.564647	1.579859
427.074432	715000	1.588072	1.588072	1.588072	1.582278	1.661820	1.720208	1.606870	1.578436	1.581229
427.111481	720000	1.585100	1.585100	1.585100	1.763668	1.451906	1.545088	1.547465	1.602856	1.556811
427.143005	725000	1.582817	1.582817	1.582817	1.471454	1.720134	1.463272	1.567870	1.565958	1.573170
427.179626	730000	1.580400	1.580400	1.580400	1.452222	1.523461	1.605104	1.614200	1.606737	1.551292
427.215118	735000	1.577102	1.577102	1.577102	1.671682	1.690331	1.598338	1.563560	1.671632	1.558396
427.249237	740000	1.574991	1.574991	1.574991	1.586294	1.600512	1.564670	1.563008	1.528637	1.564992
427.285553	745000	1.572950	1.572950	1.572950	1.519295	1.545714	1.454995	1.494085	1.542631	1.576113
427.323120	750000	1.569830	1.569830	1.569830	1.808972	1.655218	1.513947	1.525423	1.534497	1.584115
427.359039	755000	1.567776	1.567776	1.567776	1.731302	1.517335	1.591501	1.557594	1.546867	1.555948
427.393616	760000	1.565432	1.565432	1.565432	1.685204	1.531745	1.540743	1.528164	1.507609	1.611195
427.428619	765000	1.563285	1.563285	1.563285	1.698947	1.675744	1.612838	1.580658	1.604119	1.595831
427.464722	770000	1.560295	1.560295	1.560295	1.299714	1.597699	1.565987	1.590913	1.535780	1.533137
427.498474	775000	1.557873	1.557873	1.557873	1.660578	1.537634	1.565833	1.586460	1.541029	1.527564
427.531708	780000	1.556012	1.556012	1.556012	1.541782	1.597699	1.519613	1.640302	1.567729	1.553494
427.561218	785000	1.553851	1.553851	1.553851	1.556178	1.728310	1.529929	1.626572	1.565990	1.547030
427.592896	790000	1.551708	1.551708	1.551708	1.226693	1.533154	1.656075	1.612799	1.510839	1.547377
427.625397	795000	1.550001	1.550001	1.550001	1.584786	1.554122	1.638908	1.559873	1.571775	1.568259
427.658691	800000	1.548038	1.548038	1.548038	1.482360	1.645413	1.598689	1.607991	1.567645	1.560942
427.691681	805000	1.546477	1.546477	1.546477	1.803101	1.607329	1.596870	1.514413	1.517840	1.521937
427.726715	810000	1.545197	1.545197	1.545197	1.555210	1.474383	1.654568	1.555616	1.504599	1.554608
427.759064	815000	1.543201	1.543201	1.543201	1.351717	1.631454	1.427679	1.534632	1.523887	1.511023
427.790802	820000	1.540806	1.540806	1.540806	1.631321	1.539172	1.630590	1.511533	1.495797	1.568806
427.819794	825000	1.538933	1.538933	1.538933	1.428980	1.508409	1.496586	1.487896	1.556188	1.587751
427.852448	830000	1.537479	1.537479	1.537479	1.496110	1.426025	1.563661	1.475675	1.520179	1.512233
427.883789	835000	1.535286	1.535286	1.535286	1.560063	1.615770	1.553911	1.512649	1.516039	1.579185
427.914368	840000	1.532983	1.532983	1.532983	1.522534	1.651528	1.449380	1.517101	1.527424	1.526274
427.944275	845000	1.531160	1.531160	1.531160	1.578781	1.455286	1.498520	1.472663	1.535938	1.546555
427.973938	850000	1.529662	1.529662	1.529662	1.337972	1.488871	1.371977	1.497930	1.530540	1.486867
428.003052	855000	1.527686	1.527686	1.527686	1.627074	1.422981	1.423842	1.515009	1.502055	1.518776
428.033752	860000	1.525748	1.525748	1.525748	1.593879	1.585666	1.498212	1.500668	1.558448	1.534707
428.065643	865000	1.523526	1.523526	1.523526	1.697793	1.471995	1.470399	1.505353	1.563086	1.510543
428.094360	870000	1.522351	1.522351	1.522351	1.489869	1.559090	1.549187	1.459449	1.566928	1.494378
428.123169	875000	1.520968	1.520968	1.520968	1.227596	1.434412	1.518142	1.609819	1.507812	1.523887
428.149628	880000	1.519043	1.519043	1.519043	1.780627	1.486768	1.381884	1.529880	1.545203	1.491743
428.177856	885000	1.517697	1.517697	1.517697	1.460707	1.506364	1.569520	1.566593	1.582226	1.532165
428.207947	890000	1.516120	1.516120	1.516120	1.521607	1.640151	1.641531	1.435717	1.527246	1.515662
428.237885	895000	1.514487	1.514487	1.514487	1.618123	1.444356	1.386410	1.565901	1.506975	1.517898
428.266632	900000	1.512473	1.512473	1.512473	1.560063	1.501840	1.605555	1.527846	1.521126	1.526247
428.293579	905000	1.510473	1.510473	1.510473	1.424501	1.590710	1.459348	1.599826	1.500645	1.527128
428.318909	910000	1.509289	1.509289	1.509289	1.559090	1.569859	1.591976	1.550037	1.537543	1.513962
428.345398	915000	1.507830	1.507830	1.507830	1.786352	1.523113	1.535243	1.560262	1.505457	1.507338
428.377563	920000	1.505438	1.505438	1.505438	1.450537	1.455392	1.508922	1.536141	1.506538	1.490370
428.403809	925000	1.504011	1.504011	1.504011	1.461561	1.601537	1.371154	1.455507	1.547051	1.483322
428.430023	930000	1.502424	1.502424	1.502424	1.710571	1.438952	1.519930	1.459300	1.539958	1.482298
428.456421	935000	1.501173	1.501173	1.501173	1.702417	1.616684	1.557541	1.462283	1.509698	1.519690
428.481934	940000	1.499431	1.499431	1.499431	1.308216	1.428265	1.571092	1.521352	1.524187	1.514563
428.509369	945000	1.498411	1.498411	1.498411	1.253133	1.613814	1.394700	1.516659	1.492107	1.464963
428.535858	950000	1.496456	1.496456	1.496456	1.788909	1.736111	1.372754	1.458109	1.494171	1.540135
428.562592	955000	1.494994	1.494994	1.494994	1.332268	1.446341	1.423108	1.481310	1.510828	1.517997
428.590637	960000	1.493555	1.493555	1.493555	1.553277	1.323890	1.458656	1.517248	1.513301	1.468758
428.617065	965000	1.491904	1.491904	1.491904	1.585791	1.491202	1.605491	1.522696	1.461652	1.486411
428.643066	970000	1.490497	1.490497	1.490497	1.369863	1.633453	1.467971	1.522297	1.531496	1.490522
428.668243	975000	1.489016	1.489016	1.489016	1.445504	1.486657	1.548767	1.544965	1.475757	1.496309
428.693268	980000	1.487389	1.487389	1.487389	1.282051	1.322489	1.422855	1.487316	1.532344	1.466616
428.719788	985000	1.485384	1.485384	1.485384	1.524855	1.392273	1.476369	1.480433	1.461783	1.467638
428.745392	990000	1.484068	1.484068	1.484068	1.492537	1.627074	1.553308	1.519369	1.484263	1.477905
428.769775	995000	1.482237	1.482237	1.482237	1.553277	1.553639	1.416807	1.490042	1.490507	1.491638
428.796173	1000000	1.480699	1.480699	1.480699	1.421666	1.423386	1.607329	1.462621	1.447986	1.517206
